id,rollno,year_of_joining,year_of_graduation,learner_code,institution_code,branch_code
479,"72['z', 'r', 'l']515",2022,2026,969,32,19
480,"4['E', 'i', 'Z']741",2015,2019,779,26,40
481,"73['H', 'H', 'e']229",2016,2020,698,41,16
482,"81['o', 'B', 'u']822",2015,2019,564,24,40
483,"17['t', 'w', 'x']495",2021,2025,357,3,2
484,"37['F', 'S', 'z']542",2018,2022,877,40,37
485,"46['N', 'V', 'I']586",2016,2020,676,21,30
486,"42['p', 'B', 's']887",2020,2024,23,17,27
487,"50['w', 'S', 'x']291",2021,2025,544,15,18
488,"68['O', 'A', 'm']850",2018,2022,152,32,17
489,"98['J', 'R', 'a']750",2018,2022,679,13,32
490,"28['Z', 'Y', 'E']961",2018,2022,354,5,32
491,"68['G', 'S', 'R']143",2022,2026,913,18,15
492,"94['w', 'R', 'i']427",2018,2022,995,46,8
493,"42['U', 'h', 'A']649",2019,2023,112,12,14
494,"34['p', 'x', 'k']165",2020,2024,693,39,37
495,"34['A', 'W', 'h']239",2020,2024,353,10,18
496,"14['i', 'o', 'P']486",2018,2022,141,41,37
497,"41['n', 'X', 'R']530",2022,2026,577,27,24
498,"9['q', 'R', 'X']701",2020,2024,881,2,26
499,"24['N', 'x', 'z']818",2018,2022,865,35,37
500,"93['l', 'A', 'r']952",2021,2025,332,19,35
501,"82['M', 'l', 'E']403",2019,2023,655,36,14
502,"44['F', 'K', 'k']621",2018,2022,625,39,1
503,"1['R', 'l', 'g']321",2022,2026,726,34,20
504,"98['M', 'd', 'V']391",2022,2026,530,41,15
505,"26['t', 'K', 'f']582",2020,2024,287,18,33
506,"87['l', 'r', 'p']808",2021,2025,190,4,10
507,"82['c', 'K', 'j']390",2019,2023,946,40,4
508,"52['I', 'N', 'T']513",2022,2026,472,12,16
509,"28['N', 'h', 'Y']355",2019,2023,697,47,1
510,"56['o', 'C', 'u']977",2020,2024,324,18,32
511,"63['i', 'E', 'Q']893",2019,2023,589,27,3
512,"53['c', 'i', 'f']93",2018,2022,503,36,20
513,"23['N', 'b', 'y']687",2017,2021,344,6,20
514,"28['L', 'O', 'T']48",2021,2025,572,15,10
515,"82['D', 'a', 'R']980",2020,2024,667,34,15
516,"95['h', 'd', 'L']773",2019,2023,703,38,11
517,"30['L', 'F', 'f']729",2020,2024,635,2,29
518,"70['H', 'N', 't']530",2015,2019,778,49,37
519,"2['N', 'L', 'z']227",2020,2024,761,50,32
520,"8['E', 'g', 'c']889",2015,2019,706,38,16
521,"61['f', 'M', 'd']686",2019,2023,273,10,13
522,"84['I', 'C', 'a']85",2015,2019,692,21,38
523,"8['Z', 'z', 'S']167",2016,2020,270,20,12
524,"84['O', 'V', 'S']583",2016,2020,56,25,26
525,"29['H', 'A', 'v']428",2018,2022,217,49,7
526,"53['d', 's', 'E']616",2015,2019,380,7,39
527,"89['l', 'H', 'x']122",2017,2021,348,19,7
528,"80['h', 'X', 'a']746",2022,2026,556,26,21
529,"58['r', 'j', 'N']381",2018,2022,597,3,23
530,"33['i', 'y', 'h']285",2018,2022,897,47,20
531,"12['L', 'w', 'T']914",2016,2020,825,39,10
532,"97['d', 'h', 'w']48",2021,2025,764,43,36
533,"40['J', 'P', 'S']604",2018,2022,351,20,20
534,"37['C', 'c', 'Z']96",2016,2020,508,13,12
535,"9['K', 'o', 'Z']652",2017,2021,757,1,2
536,"67['M', 'h', 'f']724",2017,2021,666,5,4
537,"98['W', 'X', 'M']871",2018,2022,823,25,29
538,"90['M', 'p', 'x']522",2016,2020,180,3,1
539,"34['Q', 'j', 'J']759",2021,2025,488,37,13
540,"20['U', 'C', 'k']596",2021,2025,479,24,5
541,"6['w', 'C', 'e']336",2018,2022,35,48,13
542,"6['a', 'c', 'j']249",2022,2026,812,3,4
543,"94['Y', 'D', 'x']857",2021,2025,955,7,28
544,"12['z', 'A', 'J']476",2021,2025,569,40,13
545,"23['m', 'Z', 'Y']224",2015,2019,702,49,36
546,"37['g', 'w', 'a']8",2017,2021,673,13,11
547,"65['V', 'a', 'b']136",2015,2019,844,47,31
548,"87['C', 'W', 'M']864",2021,2025,803,15,2
549,"45['K', 't', 'K']656",2016,2020,565,23,32
550,"63['q', 'V', 'U']502",2016,2020,533,47,28
551,"84['h', 'e', 'b']74",2021,2025,706,33,23
552,"0['W', 'y', 'K']980",2019,2023,440,41,37
553,"93['d', 'X', 'X']375",2019,2023,800,30,10
554,"50['s', 'O', 'I']881",2019,2023,154,7,11
555,"73['A', 'a', 'X']258",2020,2024,815,35,25
556,"58['P', 'I', 'X']624",2021,2025,857,12,7
557,"83['x', 'V', 'q']42",2018,2022,893,2,15
558,"5['s', 'M', 'Y']297",2022,2026,433,38,10
559,"28['N', 'L', 'o']101",2018,2022,996,8,3
560,"54['c', 'I', 'V']314",2020,2024,779,16,29
561,"40['t', 'K', 'f']360",2022,2026,79,14,36
562,"93['R', 'Z', 'c']885",2015,2019,893,18,21
563,"65['z', 'd', 'h']618",2022,2026,958,4,1
564,"87['D', 'b', 'Q']25",2021,2025,547,28,2
565,"40['p', 'K', 'Q']635",2015,2019,282,24,27
566,"47['p', 'n', 'Q']211",2022,2026,174,16,34
567,"73['c', 'l', 's']889",2022,2026,679,26,31
568,"47['w', 'T', 'M']393",2022,2026,683,50,14
569,"54['w', 'k', 't']567",2020,2024,898,28,31
570,"63['C', 'c', 'U']14",2022,2026,128,46,21
571,"49['a', 'l', 'g']902",2015,2019,589,20,17
572,"7['a', 'a', 'E']222",2016,2020,394,42,9
573,"75['l', 'f', 'R']953",2020,2024,724,28,15
574,"33['w', 't', 'Q']792",2016,2020,580,14,22
575,"53['Z', 'Y', 'B']794",2016,2020,131,21,31
576,"37['J', 'W', 'b']248",2018,2022,9,31,24
577,"44['X', 'Q', 'q']827",2020,2024,638,43,5
578,"0['z', 'U', 'w']720",2016,2020,697,1,8
579,"28['Q', 'E', 'E']23",2017,2021,25,34,38
580,"23['J', 'V', 'g']712",2017,2021,658,30,29
581,"75['W', 'm', 'l']396",2018,2022,733,15,21
582,"17['I', 'g', 'P']378",2017,2021,73,20,11
583,"24['A', 'M', 'R']27",2021,2025,923,45,3
584,"87['X', 'T', 'V']444",2021,2025,227,1,29
585,"92['k', 'l', 'e']404",2018,2022,553,19,12
586,"38['m', 'S', 'u']846",2022,2026,316,48,20
587,"39['J', 'r', 'F']908",2019,2023,637,29,10
588,"70['D', 'e', 'N']889",2016,2020,737,49,30
589,"21['z', 'g', 'k']733",2022,2026,325,12,24
590,"87['j', 'i', 'f']820",2019,2023,450,7,14
591,"94['D', 'u', 'Y']130",2015,2019,672,37,21
592,"54['z', 'i', 'Z']937",2020,2024,624,20,28
593,"60['c', 'd', 'r']607",2015,2019,571,45,24
594,"42['v', 'i', 'B']347",2019,2023,118,16,12
595,"40['v', 'Z', 'P']400",2017,2021,609,24,4
596,"95['q', 'l', 'P']768",2022,2026,794,35,25
597,"80['u', 'A', 'f']708",2016,2020,892,41,25
598,"6['r', 'w', 'C']511",2022,2026,68,27,31
599,"8['N', 'm', 'i']865",2015,2019,822,42,26
600,"66['L', 'P', 'F']932",2019,2023,529,3,11
601,"4['T', 'n', 'N']419",2022,2026,671,5,36
602,"31['b', 'l', 'i']519",2015,2019,26,7,27
603,"96['b', 'B', 'F']8",2015,2019,737,45,1
604,"19['R', 'm', 'e']717",2020,2024,171,23,7
605,"89['v', 'A', 'M']268",2016,2020,85,31,1
606,"52['o', 'l', 'c']474",2019,2023,442,37,3
607,"27['V', 'X', 'I']785",2022,2026,773,23,38
608,"39['n', 'U', 'y']334",2018,2022,131,33,15
609,"86['d', 'O', 'G']73",2020,2024,41,9,22
610,"86['j', 'R', 'D']148",2017,2021,822,12,40
611,"95['m', 'B', 'G']273",2017,2021,437,29,20
612,"60['a', 's', 'a']174",2015,2019,826,47,13
613,"64['v', 'G', 'o']954",2018,2022,361,15,21
614,"22['K', 'q', 'y']34",2015,2019,9,38,15
615,"4['X', 'F', 'J']625",2020,2024,861,10,5
616,"6['y', 'u', 'a']204",2020,2024,406,33,37
617,"38['T', 'i', 'X']654",2022,2026,920,34,15
618,"10['d', 'W', 'F']445",2018,2022,60,46,20
619,"61['w', 'V', 'Z']769",2022,2026,835,47,7
620,"81['t', 'k', 'R']377",2015,2019,549,23,11
621,"58['X', 'K', 'C']835",2020,2024,835,44,40
622,"18['O', 'M', 'N']480",2020,2024,749,50,2
623,"67['z', 'D', 'V']474",2020,2024,417,40,14
624,"49['O', 'Y', 'S']444",2017,2021,156,32,26
625,"68['D', 'n', 'w']497",2022,2026,75,38,20
626,"12['w', 'D', 'm']488",2015,2019,468,45,27
627,"70['R', 'E', 'b']143",2016,2020,465,20,36
628,"78['L', 'B', 'Y']922",2021,2025,805,45,27
629,"78['h', 'E', 'K']486",2020,2024,132,50,6
630,"67['Q', 'Y', 'Q']820",2017,2021,45,50,30
631,"70['N', 'W', 'K']681",2015,2019,189,43,7
632,"72['K', 'G', 'D']847",2021,2025,255,35,23
633,"25['s', 'a', 'p']327",2019,2023,77,14,35
634,"99['K', 'F', 'T']40",2015,2019,511,13,39
635,"1['z', 'w', 'Z']396",2015,2019,331,2,1
636,"77['j', 'g', 'a']415",2018,2022,598,7,28
637,"80['U', 'p', 'V']574",2022,2026,241,4,21
638,"36['d', 'E', 's']867",2017,2021,806,42,30
639,"93['U', 'V', 'h']195",2019,2023,796,22,22
640,"90['H', 'j', 'Q']287",2018,2022,517,39,21
641,"69['A', 'T', 'R']521",2022,2026,798,1,27
642,"99['o', 'y', 'R']375",2017,2021,2,49,6
643,"30['n', 'K', 'H']188",2016,2020,325,3,38
644,"96['l', 'Z', 'P']939",2019,2023,658,15,1
645,"8['h', 'b', 'Z']212",2019,2023,683,11,21
646,"98['I', 'n', 'E']587",2016,2020,223,17,32
647,"83['B', 'o', 'o']140",2018,2022,434,20,25
648,"1['J', 'e', 'c']257",2018,2022,957,5,40
649,"52['j', 'u', 'l']555",2020,2024,734,22,11
650,"26['b', 'z', 's']15",2021,2025,643,1,36
651,"94['L', 'D', 'z']870",2017,2021,143,43,31
652,"35['w', 'U', 'O']417",2015,2019,868,48,21
653,"56['d', 'Z', 'M']261",2015,2019,7,1,3
654,"37['G', 'a', 'h']115",2020,2024,944,23,22
655,"63['f', 'x', 'j']454",2017,2021,601,50,14
656,"2['L', 'L', 'a']946",2015,2019,421,33,5
657,"68['H', 'H', 'd']691",2020,2024,539,20,19
658,"54['C', 'v', 'r']455",2018,2022,878,44,2
659,"2['Y', 'X', 'L']361",2019,2023,723,8,11
660,"36['f', 'A', 'E']222",2022,2026,921,23,5
661,"38['W', 'h', 'J']200",2016,2020,988,36,38
662,"96['b', 'f', 'n']199",2019,2023,393,11,34
663,"73['K', 'Z', 'E']517",2015,2019,761,50,25
664,"26['Y', 'h', 'h']702",2019,2023,973,26,26
665,"59['i', 'C', 'h']514",2021,2025,718,3,30
666,"14['y', 'g', 'U']203",2015,2019,353,20,20
667,"70['M', 'c', 'v']884",2016,2020,465,47,8
668,"30['S', 'O', 'T']28",2021,2025,831,20,27
669,"99['d', 'P', 'a']252",2016,2020,525,45,10
670,"69['g', 'n', 'e']948",2021,2025,21,28,6
671,"35['F', 'N', 'z']510",2021,2025,512,15,35
672,"57['k', 'b', 'Q']696",2019,2023,675,15,21
673,"74['o', 'E', 'b']961",2021,2025,864,1,10
674,"57['b', 'e', 'p']900",2022,2026,570,14,30
675,"8['D', 'z', 'O']306",2017,2021,79,36,6
676,"66['U', 'B', 'N']845",2020,2024,303,21,2
677,"14['B', 'c', 'k']774",2022,2026,825,31,22
678,"28['i', 'x', 'd']610",2020,2024,27,30,13
679,"34['H', 'y', 'o']362",2019,2023,321,37,8
680,"29['j', 'c', 'f']635",2022,2026,923,29,28
681,"66['E', 'v', 'H']85",2015,2019,79,42,15
682,"35['u', 'W', 'P']834",2021,2025,656,49,22
683,"14['r', 'g', 'H']11",2019,2023,322,40,7
684,"20['m', 'C', 'e']820",2015,2019,855,30,30
685,"54['T', 'd', 'F']807",2016,2020,544,1,3
686,"57['v', 'E', 'E']761",2020,2024,625,2,21
687,"9['a', 'O', 'b']572",2019,2023,518,48,5
688,"66['V', 'h', 'q']679",2019,2023,534,30,32
689,"47['t', 'F', 'l']747",2020,2024,542,27,36
690,"3['C', 's', 'P']750",2016,2020,709,1,2
691,"28['R', 'i', 'M']564",2016,2020,964,39,28
692,"22['k', 'o', 's']568",2015,2019,53,8,19
693,"97['K', 'P', 'I']428",2019,2023,180,49,27
694,"56['b', 'm', 'x']13",2018,2022,930,42,21
695,"40['v', 'j', 'b']523",2015,2019,716,15,2
696,"30['V', 'x', 'c']34",2019,2023,965,21,8
697,"19['q', 'D', 'h']984",2017,2021,639,33,1
698,"15['N', 'w', 'y']499",2022,2026,264,16,28
699,"28['R', 'Z', 'V']151",2020,2024,223,9,19
700,"23['B', 'D', 'i']338",2015,2019,253,44,27
701,"1['M', 'U', 'e']122",2018,2022,52,26,14
702,"87['U', 'E', 'R']352",2017,2021,88,3,10
703,"80['C', 'y', 'Q']178",2019,2023,243,30,26
704,"15['C', 'u', 'A']997",2019,2023,870,44,5
705,"7['u', 'o', 'P']100",2019,2023,315,20,16
706,"0['D', 'P', 't']788",2019,2023,564,43,25
707,"37['b', 'D', 'N']504",2017,2021,741,41,12
708,"57['M', 'm', 'R']37",2019,2023,461,30,36
709,"22['x', 'e', 'Z']519",2022,2026,567,11,40
710,"79['u', 'G', 'Y']572",2016,2020,976,24,13
711,"19['a', 'W', 'M']154",2016,2020,265,6,35
712,"48['p', 'O', 'm']950",2022,2026,361,2,35
713,"96['u', 'b', 'M']834",2016,2020,735,10,2
714,"57['Y', 'n', 'T']558",2018,2022,306,17,9
715,"14['C', 'y', 'P']931",2021,2025,197,22,13
716,"69['L', 'U', 'u']29",2021,2025,184,21,18
717,"36['a', 'S', 'v']262",2017,2021,376,2,30
718,"52['U', 'n', 'k']416",2018,2022,354,7,9
719,"82['J', 'I', 'X']363",2021,2025,643,7,19
720,"46['X', 'j', 'P']4",2015,2019,87,9,3
721,"27['D', 'B', 'f']601",2018,2022,901,14,11
722,"41['j', 'o', 'k']270",2021,2025,74,4,1
723,"56['s', 'c', 'x']538",2015,2019,723,9,11
724,"23['E', 'U', 'B']578",2021,2025,518,6,28
725,"24['U', 'k', 'y']2",2022,2026,875,42,9
726,"50['M', 'i', 'u']619",2017,2021,953,35,16
727,"29['R', 'O', 'P']662",2021,2025,123,31,7
728,"46['P', 'F', 'p']137",2016,2020,646,27,12
729,"10['D', 'q', 'M']138",2019,2023,391,2,34
730,"76['q', 'L', 'y']975",2016,2020,12,13,1
731,"73['q', 'm', 'O']294",2019,2023,660,43,39
732,"61['H', 'Q', 'U']688",2017,2021,176,6,7
733,"79['a', 'i', 'g']20",2016,2020,733,13,5
734,"77['c', 'e', 'R']539",2021,2025,356,13,17
735,"2['w', 'L', 'p']161",2015,2019,254,11,2
736,"10['l', 'Z', 'k']958",2021,2025,680,32,37
737,"95['P', 'i', 'L']859",2017,2021,457,50,38
738,"61['V', 'o', 'c']622",2020,2024,470,37,1
739,"59['D', 'c', 'N']68",2018,2022,941,30,39
740,"31['u', 'x', 'r']982",2021,2025,751,3,3
741,"19['t', 'A', 'T']60",2016,2020,499,29,31
742,"5['P', 'S', 'G']32",2021,2025,836,34,22
743,"69['a', 'H', 'O']223",2017,2021,992,3,19
744,"38['Q', 'U', 'U']541",2022,2026,752,28,34
745,"2['q', 'u', 'p']726",2018,2022,624,29,13
746,"16['P', 'Z', 'l']316",2022,2026,533,32,39
747,"73['q', 'L', 'C']914",2016,2020,547,25,29
748,"17['d', 'x', 'H']399",2015,2019,275,13,27
749,"80['b', 'I', 'I']502",2022,2026,242,29,31
750,"68['I', 'S', 'a']569",2020,2024,562,45,17
751,"77['c', 'h', 'E']138",2022,2026,188,28,32
752,"92['d', 'w', 'e']772",2017,2021,211,7,18
753,"55['I', 'y', 'h']696",2018,2022,514,41,19
754,"39['k', 'J', 'x']274",2018,2022,696,46,17
755,"41['o', 'N', 'i']619",2016,2020,199,8,6
756,"0['l', 'i', 's']201",2022,2026,592,10,11
757,"96['x', 'M', 'x']591",2017,2021,858,24,32
758,"26['x', 'b', 'y']527",2021,2025,301,24,38
759,"40['P', 'B', 't']946",2015,2019,1,23,1
760,"11['w', 'o', 'g']330",2020,2024,487,31,40
761,"67['B', 'y', 'U']659",2020,2024,582,28,39
762,"0['D', 'P', 'j']197",2019,2023,180,3,19
763,"57['w', 'w', 'K']9",2020,2024,39,12,21
764,"15['l', 'o', 'z']42",2020,2024,210,37,30
765,"1['V', 'Z', 'Z']139",2018,2022,762,38,3
766,"67['W', 'T', 'A']540",2016,2020,666,32,13
767,"61['w', 'D', 'Y']985",2022,2026,870,4,40
768,"20['e', 'P', 'c']396",2020,2024,755,38,30
769,"57['P', 'T', 'p']689",2016,2020,972,47,28
770,"25['h', 'j', 'u']919",2019,2023,241,3,18
771,"56['k', 'i', 'n']229",2022,2026,370,27,3
772,"83['d', 'k', 'I']288",2019,2023,731,14,3
773,"38['E', 'x', 'Z']294",2019,2023,74,25,8
774,"93['L', 'D', 'A']570",2018,2022,709,33,16
775,"29['g', 'W', 'Z']701",2019,2023,448,18,18
776,"90['j', 'y', 'E']393",2017,2021,157,9,7
777,"68['P', 'b', 'W']259",2015,2019,414,41,15
778,"43['i', 'r', 'B']710",2020,2024,946,5,14
779,"42['X', 'T', 'E']995",2015,2019,630,22,23
780,"56['c', 'o', 'V']478",2020,2024,977,11,22
781,"0['H', 'A', 'W']532",2019,2023,916,13,38
782,"35['j', 'm', 'x']606",2016,2020,261,38,4
783,"18['l', 'x', 'S']924",2017,2021,321,31,22
784,"28['i', 'F', 'T']534",2022,2026,795,1,31
785,"23['P', 'r', 'b']801",2017,2021,612,12,33
786,"8['f', 'j', 'V']203",2017,2021,983,49,40
787,"60['q', 'I', 'l']50",2015,2019,472,36,36
788,"47['A', 'z', 'n']476",2018,2022,297,29,5
789,"74['M', 'w', 'i']595",2015,2019,809,48,36
790,"74['C', 'c', 'V']987",2015,2019,707,20,32
791,"87['o', 'm', 'z']583",2015,2019,506,33,7
792,"92['Q', 'L', 'd']811",2018,2022,504,23,1
793,"84['w', 'B', 'V']897",2015,2019,692,16,34
794,"73['r', 'I', 'D']489",2022,2026,364,50,31
795,"41['y', 'Y', 'x']946",2020,2024,916,5,24
796,"35['L', 't', 'Z']441",2021,2025,852,24,30
797,"30['L', 'A', 'z']902",2018,2022,476,10,2
798,"66['R', 'A', 'x']403",2021,2025,534,19,39
799,"81['t', 'i', 'a']669",2016,2020,128,15,13
800,"31['i', 'B', 'L']835",2017,2021,707,16,22
801,"68['q', 'O', 'y']952",2017,2021,252,41,40
802,"58['d', 'x', 'a']419",2017,2021,403,19,2
803,"86['l', 'O', 's']796",2016,2020,16,7,36
804,"60['o', 'U', 'M']607",2018,2022,719,32,33
805,"36['W', 'e', 'G']535",2019,2023,461,2,29
806,"94['p', 'z', 'Z']988",2022,2026,158,39,32
807,"12['C', 'x', 'f']49",2015,2019,337,26,33
808,"14['G', 'B', 'V']497",2018,2022,896,13,9
809,"43['G', 'U', 'c']773",2019,2023,666,47,35
810,"2['i', 'b', 'c']917",2021,2025,999,42,7
811,"78['Q', 'e', 'm']480",2021,2025,909,33,38
812,"78['u', 'r', 'A']96",2016,2020,580,39,28
813,"64['g', 'L', 'G']167",2021,2025,830,8,6
814,"6['C', 'K', 'V']523",2016,2020,563,6,37
815,"21['u', 'y', 'U']166",2020,2024,706,6,37
816,"36['a', 'R', 'c']910",2017,2021,94,40,12
817,"90['B', 'S', 'b']210",2022,2026,47,23,5
818,"7['j', 'f', 'N']450",2021,2025,455,38,33
819,"58['A', 'M', 'k']214",2020,2024,705,19,13
820,"65['t', 'w', 'r']645",2018,2022,852,15,23
821,"0['P', 'O', 'j']718",2017,2021,776,21,11
822,"84['e', 'n', 'L']881",2022,2026,885,34,7
823,"65['I', 'c', 'n']353",2022,2026,89,11,34
824,"16['O', 'R', 'X']307",2017,2021,119,35,33
825,"51['L', 'G', 'o']140",2017,2021,399,37,6
826,"52['u', 'A', 'B']395",2015,2019,906,27,5
827,"35['i', 'X', 'X']625",2019,2023,87,24,8
828,"54['K', 'F', 'x']416",2017,2021,199,45,31
829,"57['r', 'O', 'I']879",2021,2025,559,39,18
830,"70['k', 'u', 'p']844",2017,2021,808,23,7
831,"61['e', 'G', 'q']81",2016,2020,908,45,13
832,"50['k', 'q', 'k']341",2016,2020,439,22,27
833,"38['B', 'u', 'D']320",2020,2024,707,44,35
834,"0['b', 'H', 'w']659",2018,2022,1,2,15
835,"25['k', 'O', 'a']627",2015,2019,561,38,28
836,"56['M', 'i', 's']818",2022,2026,889,14,6
837,"6['K', 'S', 'C']383",2021,2025,979,20,18
838,"30['C', 'd', 'e']136",2021,2025,529,39,25
839,"90['s', 'K', 'G']493",2017,2021,787,30,14
840,"98['Z', 'u', 'p']282",2015,2019,692,8,39
841,"96['k', 'S', 'M']47",2015,2019,113,3,4
842,"83['O', 'Z', 'D']435",2022,2026,247,23,38
843,"90['g', 'c', 'U']432",2018,2022,236,24,14
844,"36['N', 'g', 'K']814",2019,2023,155,5,4
845,"71['B', 'i', 'x']35",2016,2020,331,50,27
846,"81['Z', 'A', 'T']30",2017,2021,556,35,28
847,"32['t', 'e', 'y']458",2015,2019,272,8,12
848,"42['N', 'w', 'J']762",2020,2024,76,2,7
849,"88['m', 'H', 'M']432",2015,2019,300,6,31
850,"82['M', 'l', 'C']333",2020,2024,285,48,25
851,"44['Q', 'b', 'q']601",2022,2026,894,37,14
852,"26['E', 'j', 'P']516",2022,2026,387,7,33
853,"95['B', 'U', 'd']742",2017,2021,799,22,1
854,"20['e', 'a', 'h']313",2019,2023,191,11,14
855,"87['z', 'O', 'l']23",2017,2021,417,17,30
856,"98['r', 'U', 'A']811",2019,2023,898,20,16
857,"23['D', 'g', 'T']729",2022,2026,220,31,13
858,"34['Q', 'm', 'n']360",2021,2025,902,9,8
859,"47['B', 't', 'P']816",2021,2025,913,50,25
860,"34['q', 'Q', 'q']601",2018,2022,312,48,35
861,"61['o', 'n', 'H']103",2016,2020,709,3,19
862,"18['z', 'Q', 'g']178",2017,2021,56,17,7
863,"38['t', 'z', 't']219",2015,2019,673,16,39
864,"22['e', 'v', 'w']730",2019,2023,12,6,28
865,"1['U', 's', 's']505",2021,2025,786,17,6
866,"93['M', 'Z', 'B']841",2021,2025,898,49,40
867,"90['c', 'p', 'J']995",2022,2026,763,2,2
868,"87['W', 'k', 'U']532",2018,2022,412,22,1
869,"84['N', 'k', 'e']986",2017,2021,979,30,15
870,"8['y', 'q', 'u']289",2016,2020,849,35,15
871,"5['F', 'M', 'q']423",2019,2023,630,31,15
872,"2['R', 'O', 'e']403",2016,2020,560,4,25
873,"3['T', 'x', 'f']501",2022,2026,755,8,8
874,"97['z', 'P', 'u']189",2019,2023,793,19,38
875,"7['f', 'U', 'D']200",2018,2022,806,16,36
876,"45['C', 'B', 'l']166",2020,2024,515,32,7
877,"65['Y', 'V', 'e']819",2019,2023,944,21,12
878,"73['p', 'm', 'f']311",2016,2020,833,40,20
879,"1['g', 'O', 'c']369",2018,2022,340,46,10
880,"34['G', 'N', 'h']975",2017,2021,839,13,18
881,"47['p', 'x', 'M']962",2016,2020,69,5,31
882,"4['n', 'j', 'A']907",2021,2025,968,32,32
883,"93['C', 'n', 'l']141",2019,2023,505,40,34
884,"71['b', 'h', 'L']377",2022,2026,485,43,29
885,"66['R', 'M', 'y']183",2016,2020,541,43,32
886,"74['L', 'X', 'g']539",2017,2021,530,26,25
887,"2['q', 'F', 'O']492",2015,2019,192,15,5
888,"69['G', 'e', 'H']758",2016,2020,262,22,24
889,"43['t', 'N', 'z']178",2020,2024,906,34,9
890,"19['u', 'R', 'A']918",2022,2026,245,6,27
891,"70['X', 'F', 'G']587",2016,2020,813,24,12
892,"47['q', 'z', 'y']585",2020,2024,549,33,39
893,"85['Z', 'I', 'x']817",2015,2019,839,5,10
894,"96['j', 'Y', 'r']398",2017,2021,147,18,2
895,"27['J', 'F', 'b']956",2018,2022,847,26,13
896,"19['M', 't', 'e']169",2015,2019,659,23,8
897,"50['f', 'A', 'v']706",2018,2022,507,35,4
898,"23['L', 'P', 'w']437",2019,2023,670,17,20
899,"45['R', 'S', 'w']350",2015,2019,190,31,34
900,"95['q', 'k', 'J']895",2018,2022,447,30,2
901,"20['C', 'i', 'w']936",2017,2021,927,33,7
902,"47['l', 'T', 's']241",2019,2023,950,10,1
903,"83['J', 'f', 'Y']713",2020,2024,340,32,16
904,"24['g', 'X', 'X']646",2015,2019,181,49,6
905,"11['c', 'F', 'I']24",2018,2022,911,1,20
906,"14['a', 'Z', 'T']875",2018,2022,374,26,29
907,"9['W', 'R', 'n']817",2021,2025,197,5,11
908,"98['p', 'x', 'V']302",2018,2022,875,43,19
909,"52['x', 'd', 'D']776",2015,2019,243,45,40
910,"82['x', 'Q', 'I']50",2021,2025,818,31,30
911,"31['H', 'J', 'x']280",2016,2020,212,15,20
912,"37['B', 'H', 'k']86",2020,2024,629,33,23
913,"12['M', 'p', 'h']563",2018,2022,509,27,29
914,"88['Z', 'M', 'J']244",2018,2022,169,47,39
915,"51['T', 'E', 'E']558",2017,2021,729,23,1
916,"78['I', 'l', 'o']1",2018,2022,619,12,9
917,"0['P', 'M', 'S']870",2019,2023,940,26,20
918,"6['Y', 'T', 'A']520",2017,2021,915,15,29
919,"10['P', 'T', 'x']786",2016,2020,76,32,8
920,"70['M', 'J', 'l']437",2022,2026,101,26,13
921,"37['q', 'k', 'Q']182",2016,2020,798,21,32
922,"61['T', 'G', 'L']24",2019,2023,784,31,15
923,"37['Q', 'j', 'A']560",2016,2020,624,31,26
924,"93['K', 'a', 'P']935",2019,2023,946,14,3
925,"65['z', 'M', 'l']246",2019,2023,641,11,4
926,"15['i', 's', 'n']634",2017,2021,487,6,36
927,"92['v', 'U', 'e']774",2019,2023,916,34,35
928,"24['t', 'M', 'o']484",2019,2023,635,21,6
929,"37['N', 'P', 's']721",2019,2023,662,5,5
930,"67['H', 'V', 'M']544",2018,2022,971,28,1
931,"43['C', 'B', 'l']931",2020,2024,200,47,30
932,"74['o', 'z', 'V']480",2021,2025,551,31,18
933,"82['L', 'h', 'y']261",2019,2023,346,40,1
934,"52['Y', 'b', 'S']957",2018,2022,274,16,20
935,"79['O', 'T', 'n']398",2016,2020,394,32,13
936,"5['o', 'V', 'O']0",2018,2022,56,16,18
937,"34['g', 'x', 'm']444",2019,2023,524,27,1
938,"92['g', 'v', 'v']889",2022,2026,615,46,30
939,"91['t', 'O', 'X']427",2020,2024,726,15,39
940,"72['e', 'G', 'h']135",2015,2019,664,22,40
941,"0['L', 'X', 'x']43",2019,2023,82,47,1
942,"79['X', 'x', 'V']455",2019,2023,217,5,34
943,"57['L', 'N', 'i']513",2022,2026,404,20,36
944,"55['U', 'u', 'u']920",2020,2024,811,8,4
945,"39['V', 'c', 'b']385",2022,2026,661,7,36
946,"34['g', 'k', 'j']232",2015,2019,529,23,25
947,"32['P', 'f', 'e']420",2018,2022,593,8,14
948,"2['d', 'e', 'h']347",2015,2019,299,29,37
949,"81['W', 'd', 'e']744",2016,2020,604,39,27
950,"45['Q', 'f', 'l']215",2016,2020,519,41,16
951,"82['K', 'H', 'n']142",2019,2023,415,1,11
952,"38['N', 'D', 'O']940",2018,2022,904,7,38
953,"51['T', 'r', 'p']539",2017,2021,665,4,21
954,"52['d', 'X', 'g']824",2018,2022,809,4,8
955,"11['R', 'n', 'E']572",2020,2024,316,45,37
956,"65['y', 'T', 'z']468",2018,2022,239,19,27
957,"23['Z', 'F', 'q']336",2021,2025,150,29,30
